pillar,sort_order,slug,display_name,unit,wired_status,tier_index,threshold,current_title,current_body,copy_status,proposed_title,proposed_body,approved_y_n
focus,600,focus_cards_completed,"Focus Cards Completed",,wired,1,5,"Five Focus Cards","Five focus cards completed. The smallest deliberate units of intentional living.",placeholder,,,
focus,600,focus_cards_completed,"Focus Cards Completed",,wired,2,20,"Twenty Focus Cards","Twenty focus cards completed. A genuine practice of daily intention is forming.",placeholder,,,
focus,600,focus_cards_completed,"Focus Cards Completed",,wired,3,50,"Fifty Focus Cards","Fifty focus cards completed. Sustained engagement with daily intentional practice.",placeholder,,,
focus,600,focus_cards_completed,"Focus Cards Completed",,wired,4,150,"Hundred Fifty Focus Cards","One hundred and fifty focus cards. The kind of accumulated intention that quietly reshapes a life.",placeholder,,,
focus,600,focus_cards_completed,"Focus Cards Completed",,wired,5,500,"Five Hundred Focus Cards","Five hundred focus cards completed. A profound and rare engagement with intentional daily living.",placeholder,,,
focus,601,daily_focus_all_complete,"Daily Focus Days",,wired,1,1,"Full Focus Day","Every focus card for one day, completed. A day fully lived on purpose.",placeholder,,,
focus,601,daily_focus_all_complete,"Daily Focus Days",,wired,2,10,"Ten Full Focus Days","Ten days of complete focus card execution. The pattern of deliberate days emerging.",placeholder,,,
focus,601,daily_focus_all_complete,"Daily Focus Days",,wired,3,30,"Thirty Full Focus Days","Thirty full focus days. A month of fully intentional living. Rare and quietly transformative.",placeholder,,,
focus,602,same_focus_completed_10x,"Focus Devotion",,wired,1,10,"Ten Repeated Focuses","The same focus completed ten times. Depth of practice beats breadth when something genuinely works.",placeholder,,,
focus,602,same_focus_completed_10x,"Focus Devotion",,wired,2,25,"Twenty-Five Repeated Focuses","Twenty-five repetitions of a single focus. A practice that has clearly become important.",placeholder,,,
focus,602,same_focus_completed_10x,"Focus Devotion",,wired,3,50,"Fifty Repeated Focuses","Fifty repetitions of a single focus. Identity-level commitment to one intention.",placeholder,,,
focus,603,focus_from_every_pillar_week,"Cross-Pillar Focus Weeks",,wired,1,1,"One Cross-Pillar Focus Week","Focus from every pillar in a single week. Whole-person engagement, not single-track.",placeholder,,,
focus,603,focus_from_every_pillar_week,"Cross-Pillar Focus Weeks",,wired,2,5,"Five Cross-Pillar Focus Weeks","Five weeks of cross-pillar focus engagement. A sustained pattern of holistic intention.",placeholder,,,
focus,604,distinct_focuses_tried,"Distinct Focuses",,wired,1,5,"Five Distinct Focuses","Five distinct focuses tried. Breadth helps you find what actually fits.",placeholder,,,
focus,604,distinct_focuses_tried,"Distinct Focuses",,wired,2,15,"Fifteen Distinct Focuses","Fifteen distinct focuses tried. A genuine survey of the platform's intentional offering.",placeholder,,,
focus,605,streak_focus,"Focus Streak",,wired,1,3,"Three-Day Focus Streak","Three consecutive days of focus card completion. The foundation of a practice.",placeholder,,,
focus,605,streak_focus,"Focus Streak",,wired,2,7,"Seven-Day Focus Streak","A full week of consecutive focus practice. The shape of an intentional life forming.",placeholder,,,
focus,605,streak_focus,"Focus Streak",,wired,3,14,"Fourteen-Day Focus Streak","Two weeks of consecutive focus practice. Sustained daily intention.",placeholder,,,
focus,605,streak_focus,"Focus Streak",,wired,4,30,"Thirty-Day Focus Streak","A month-long focus streak. Rare, sustained, quietly significant.",placeholder,,,
focus,606,weekly_focus_completion,"Full Focus Weeks",,wired,1,1,"First Full Focus Week","One full week with one hundred percent focus card completion. A perfect week, even briefly.",placeholder,,,
focus,606,weekly_focus_completion,"Full Focus Weeks",,wired,2,5,"Five Full Focus Weeks","Five weeks of complete focus card execution. The pattern of fully intentional weeks holds.",placeholder,,,
focus,607,first_focus_complete,"Focus Beginnings",,wired,1,1,"First Focus Card","Your first focus card completed. The smallest deliberate act, taken intentionally.",placeholder,,,
